timestamp_us,raw
85176900,1899.0
85178900,1901.0
85180900,1898.0
85182900,1919.0
85184900,1898.0
85186900,1893.0
85188900,1903.0
85190900,1904.0
85192900,1898.0
85194900,1897.0
85196900,1901.0
85198900,1899.0
85200899,1902.0
85202900,1901.0
85204900,1894.0
85206900,1899.0
85208900,1893.0
85210900,1903.0
85212900,1904.0
85214900,1897.0
85216900,1899.0
85218900,1899.0
85220899,1903.0
85222900,1888.0
85224900,1896.0
85226900,1904.0
85228899,1904.0
85230900,1904.0
85232900,1891.0
85234900,1904.0
85236900,1909.0
85238900,1910.0
85240899,1907.0
85242900,1918.0
85244900,1915.0
85246899,1931.0
85248900,1911.0
85250900,1917.0
85252900,1910.0
85254900,1906.0
85256899,1911.0
85258900,1916.0
85260899,1877.0
85262899,1906.0
85264900,1905.0
85266900,1904.0
85268900,1901.0
85270900,1898.0
85272900,1901.0
85274900,1936.0
85276900,1893.0
85278900,1897.0
85280900,1897.0
85282900,1902.0
85284899,1892.0
85286900,1901.0
85288900,1898.0
85290900,1898.0
85292900,1901.0
85294899,1898.0
85296900,1882.0
85298900,1915.0
85300900,1907.0
85302900,1888.0
85304899,1904.0
85306900,1890.0
85308899,1903.0
85310900,1899.0
85312900,1854.0
85314900,1855.0
85316899,1894.0
85318899,1897.0
85320900,1887.0
85322900,1890.0
85324900,1895.0
85326900,1899.0
85328900,1909.0
85330900,1899.0
85332900,1906.0
85334900,1904.0
85336900,1904.0
85338900,1799.0
85340900,1926.0
85342900,1924.0
85344900,1797.0
85346899,2003.0
85348900,1919.0
85350900,1915.0
85352900,1911.0
85354900,1872.0
85356900,1913.0
85358900,1889.0
85360900,1910.0
85362900,1906.0
85364900,1921.0
85366900,1899.0
85368900,1901.0
85370900,1902.0
85372900,1898.0
85374900,1898.0
85376900,1904.0
85378900,1900.0
85380900,1910.0
85382900,1936.0
85384900,1894.0
85386900,1904.0
85388899,1903.0
85390900,1902.0
85392899,1898.0
85394900,1894.0
85396900,1914.0
85398899,1885.0
85400900,1909.0
85402900,1904.0
85404900,1902.0
85406900,1865.0
85408899,1873.0
85410900,1903.0
85412900,1883.0
85414900,1899.0
85416900,1918.0
85418899,1913.0
85420900,1899.0
85422900,1955.0
85424900,1883.0
85426900,1878.0
85428900,1903.0
85430900,1899.0
85432900,1899.0
85434900,1927.0
85436900,1892.0
85438899,1911.0
85440900,1918.0
85442900,1910.0
85444899,1937.0
85446900,1919.0
85448900,1915.0
85450899,1910.0
85452900,1911.0
85454899,1920.0
85456900,1917.0
85458900,1925.0
85460900,1916.0
85462900,1918.0
85464900,1945.0
85466900,1904.0
85468900,1861.0
85470900,1856.0
85472900,1888.0
85474900,1852.0
85476900,1900.0
85478900,1883.0
85480899,1907.0
85482900,1901.0
85484900,1898.0
